COUNTRY_CODE,COUNTRY_NAME,2010,2020,2030,2040,2050
AT,Austria,4058,4483,4715,4973,4975
BE,Belgium,2852,3077,3182,3217,3213
BG,Bulgaria,3580,3626,3504,3590,3494
CY,Cyprus,2146,2369,2418,2485,2469
CZ,Czech Republic,2090,2288,2385,2505,2539
DE,Germany,2466,2651,2760,2893,2937
DK,Denmark,2401,2399,2453,2449,2432
EE,Estonia,2355,2693,2566,2917,2847
EL,Greece,8410,8313,7772,8170,8096
ES,Spain,11522,10889,10261,9760,9527
FI,Finland,1691,1741,1753,1743,1700
FR,France,4512,4851,4989,5221,5217
HR,Croatia,1363,1557,1544,1681,1643
HU,Hungary,2532,2739,2898,3034,3087
IE,Ireland,2370,2700,2747,3116,3258
IT,Italy,3611,4034,4148,4436,4480
LT,Lithuania,1807,1849,1653,1764,1776
LU,Luxembourg,1886,2386,2701,2973,3035
LV,Latvia,2507,2626,2388,2642,2575
MT,Malta,4159,4283,4274,4149,4041
NL,Netherlands,4071,4282,4394,4495,4469
PL,Poland,2513,2912,2964,3176,3168
PT,Portugal,3526,3740,3776,3897,3841
RO,Romania,4044,4037,4013,3976,3786
SE,Sweden,2587,2693,2790,2799,2798
SI,Slovenia,1986,2196,2224,2393,2415
SK,Slovakia,2327,2494,2504,2480,2400
UK,United Kingdom,3587,3702,3767,3775,3783
EU28,Europe,4092,4238,4233,4330,4327
